Nom,Position,Durée,Genre,Latéralité,Set,Système,Coup,Type de service,Type Coup TK,Zone de jeu
SET (1),00:00.0,00:00.0,Garçons,Droitier/gaucher,1,Att/att,,,,
FLORE Tristan (1),00:00.0,00:00.0,Garçons,Coup droit,SET,Att/att,FLORE Tristan,Latéral droit,,
BOLL Timo (1),00:00.3,00:00.4,Garçons,Revers,SET,Att/att,BOLL Timo,,Controle / Résistance,M2
FLORE Tristan (2),00:00.7,00:00.4,Garçons,Revers,SET,Att/att,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (2),00:01.0,00:00.3,Garçons,Revers,SET,Att/att,BOLL Timo,,Controle / Résistance,M3
FLORE Tristan (3),00:01.4,00:00.4,Garçons,Revers,SET,Att/att,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (3),00:01.8,00:00.4,Garçons,Coup droit,SET,Att/att,BOLL Timo,,Attaque / Offensif,G3
FLORE Tristan (4),00:02.1,00:00.5,Garçons,Revers,SET,Att/att,Serveur Point -,,Controle / Résistance,G3
FLORE Tristan (5),00:05.9,00:00.0,Garçons,Coup droit,SET,Att/att,FLORE Tristan,Latéral droit,,
BOLL Timo (4),00:08.4,00:00.7,Garçons,Coup droit,SET,Att/att,BOLL Timo,,Poussette,M2
FLORE Tristan (6),00:09.0,00:00.5,Garçons,Coup droit,SET,Att/att,FLORE Tristan,,Controle / Résistance,D3
BOLL Timo (5),00:09.5,00:00.6,Garçons,Coup droit,SET,Att/att,BOLL Timo,,Controle / Résistance,M3
FLORE Tristan (7),00:10.2,00:00.7,Garçons,Revers,SET,Att/att,Serveur Point -,,Attaque / Offensif,G3
BOLL Timo (6),00:14.5,00:00.9,Garçons,Coup droit,,Att/att,BOLL Timo,Latéral gauche,,
FLORE Tristan (8),00:15.8,00:01.0,Garçons,Revers,,Att/att,FLORE Tristan,,Poussette,G2
BOLL Timo (7),00:16.8,00:00.3,Garçons,Coup droit,,Att/att,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (9),00:17.0,00:00.4,Garçons,Revers,,Att/att,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (8),00:17.4,00:00.5,Garçons,Coup droit,,Att/att,Serveur Point -,,Controle / Résistance,G3
BOLL Timo (9),00:22.1,00:00.7,Garçons,Coup droit,,Att/att,BOLL Timo,Latéral droit,,
FLORE Tristan (10),00:23.5,00:00.8,Garçons,Coup droit,,Att/att,FLORE Tristan,,Poussette,M1
BOLL Timo (10),00:24.3,00:00.8,Garçons,Revers,,Att/att,Serveur Point -,,Controle / Résistance,D2
FLORE Tristan (11),00:27.5,00:00.0,Garçons,Coup droit,,Att/att,FLORE Tristan,Latéral droit,,
BOLL Timo (11),00:30.6,00:00.3,Garçons,Coup droit,,Att/att,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (12),00:30.9,00:00.5,Garçons,Revers,,Att/att,Serveur Point -,,Controle / Résistance,G3
FLORE Tristan (13),00:33.7,00:00.0,Garçons,Coup droit,,Att/att,FLORE Tristan,Latéral droit,,
BOLL Timo (12),00:36.6,00:00.4,Garçons,Revers,,Att/att,BOLL Timo,,Controle / Résistance,M2
FLORE Tristan (14),00:37.0,00:00.4,Garçons,Revers,,Att/att,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (13),00:37.4,00:00.6,Garçons,Revers,,Att/att,Serveur Point +,,Controle / Résistance,D3
